id,condition,seller,brand,model,name,category,processor,graphics,ram,storage,display,display_size,display_resolution,product_url,price,image_url,in_stock
1,New,amazon,XPI,ProBook 460 G11," ProBook 460 G11 (Replace 450) AI Capable Business Laptop, 16"" FHD+ (1920x1200), Intel Core Ultra 7 155U (beats i7-1355U), 16GB DDR5, 512GB SSD, FPReader, FHD Cam, Ethernet, Copilot Windows 11 Pro",Business,Intel Core Ultra 7 155U,Intel Iris Xe ,16,512,16 inches ( 1920x1200  ) FHD,16,FHD,https://www.amazon.com/dp/B0DKYXZ4WF,41950,https://m.media-amazon.com/images/I/61CQavyRSsL._AC_UY218_.jpg,in stock
2,New,amazon,HP,HP Laptop,"[Windows 11 Pro]HP 15 15.6"" FHD Business Laptop Computer, Quad Core Intel i5-1135G7 (Beats i7-1065G7), 16GB RAM, 512GB PCIe SSD, Numeric Keypad, Wi-Fi 6, Bluetooth 4.2, Type-C, Webcam, HDMI, w/Battery",Business,Intel Core i5 1135G,Intel Iris Xe ,16,512,15.6 inches ( 1920 x 1080  ) FHD,15.6,FHD,https://www.amazon.com/dp/B0BN813F79,22999,https://m.media-amazon.com/images/I/71LYTzK2A8L._AC_UY218_.jpg,in stock
3,New,amazon,Svikou,HL110YP,"11"" Business Laptop Computer, Intel N100 16GB DDR4 1TB SSD, Win11 Pro FHD 1920x1200 IPS, Backlit Keyboard, Dual-Band WiFi/ BT4.2, USB-C HDMI, Enterprise Ready [Business Preferred]",Business,Intel N100,Intel UHD,16,512,11 inches ( 1920x1200  ) FHD,11,FHD,https://www.amazon.com/dp/B0DKTGJ4PF,19999,https://m.media-amazon.com/images/I/91Uz-ncdQ3L._AC_UY218_.jpg,in stock
4,New,amazon,SAINTDISE,ANL5,11.6 Inch Laptop PC Touchscreen 360 Foldable Thin Laptop Computer Celeron N4020 Small Laptop 6GB RAM 128GB SSD PC Portable Dual-Band WiFi&Wireless Bluetooth Webcam USB 3.0 for Working Education Pink,Study,Intel Celeron N4020,Intel UHD ,6,128,11.6 Inches ( 1366 x 768 ) HD,11.6,HD,https://www.amazon.com/dp/B0F27XYCDH,13450,https://m.media-amazon.com/images/I/71FlVCvEOwL._AC_UY218_.jpg,in stock
5,New,amazon,FUNYET,DuetBook,"14 Inch Gaming Laptop, Laptop Computer 2025 Windows 11 Pro, 16GB RAM 512GB SSD, Intel 11th Gen N5095 Processor(up to 2.9 GHz), FHD 1920 x 1080",Study,Intel Celeron N5095,Intel UHD ,16,512,14.1 Inches ( 1920 x 1080 ) FHD,14.1,FHD,https://www.amazon.com/dp/B0DF1RZZWR,12999,https://m.media-amazon.com/images/I/71LV2Vx2mjL._AC_UY218_.jpg,in stock
7,New,amazon,MCGJGOE,14 inch J4105,"14 Inch Windows 11 Ultrabook Laptop,8GB RAM SSD,1920x1200 Pixels,Celeron J4105 Laptops (up to 2.5ghz),Dual Wi-Fi,2xUSB 3.0,Type-C,Full Size Keyboard(Silver, 8G+512GB SSD)",Study,Intel Celeron J4105,Intel UHD ,8,512,14 Inches ( 1920 x 1200 ) FHD,14,FHD,https://www.amazon.com/dp/B0DTDCZ4M1,14450,https://m.media-amazon.com/images/I/71aBSjmtpdL._AC_UY218_.jpg,in stock
9,New,amazon,BINHENGLON,J4105,"14"" Laptop IPS Display,Celeron J4105 CPU (Up to 2.5Ghz),4 Core Win 11 PC with Cooling Fan,1920 * 1080,512GB SSD Expand for Study (Rose Gold, 8GB+256GB SSD)",Study,Intel Celeron J4105,Intel UHD ,6,256,14 Inches ( 1920 x 1080 ) FHD,14,FHD,https://www.amazon.com/dp/B0DB5NS78K,13450,https://m.media-amazon.com/images/I/71hNSU378jL._AC_UY218_.jpg,in stock
10,New,amazon,Rumtuk,T140,"14"" Pink Laptop - in tel N5105, 16G DDR4 RAM, 1T SSD, FHD IPS (2160x1440), Win 11 Pro, Fingerprint, Type-C, WiFi, BT 5.0, Webcam, HDMI - Ultra-Portable for Students, Professionals, Travelers",Study,Intel Celeron N5105,Intel UHD ,16,512,14 Inches ( 2160 x 1440 ) 2K,14,2K,https://www.amazon.com/dp/B0DM24YLTD,19999,https://m.media-amazon.com/images/I/81UmoYzFmrL._AC_UY218_.jpg,in stock
15,New,amazon,NIMO,Nimo,"15.6 FHD Laptop, Win 11 Laptop Intel 12th Gen N100(Beat i3 1115G4), 16GB RAM 1TB SSD, WiFi 6, BT5.2, USB3.0, Type_C, Laptop Computer with Fingerprint Login Backlit Keyboard for Student and Business",Business,Intel N100  ,Intel UHD ,16,1024,15.6 inches ( 1920 x 1080  ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DJW48G88,14999,https://m.media-amazon.com/images/I/71hWhqcjivL._AC_UY218_.jpg,in stock
17,New,amazon,AVENKA,UL154Y,"15.6 Inch Laptop Computer, Gaming Laptop, Laptops 16GB RAM 512GB SSD N95 Processor (up to 3.4GHz), FHD IPS 1920 x 1080 Laptop Computers Supports 180 Angle Opening Backlit Keyboard Fingerprint Unlock",Study,Intel Celeron N95,Intel UHD ,16,512,15.6 Inches ( 1920 x 1080 ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DTPCBYVH,16950,https://m.media-amazon.com/images/I/71TFrt1HAbL._AC_UY218_.jpg,in stock
18,New,amazon,NIAKUN,DH02,"15.6 Inch Laptop Computer,16GB RAM 1TB SSD,Gaming Laptop,i9-11900H 8C/16T Processor(up to 4.9Ghz),UHD Graphics,15.6 FHD 1920 * 1080 Display,WiFi 6,BT5.2,Backlit Keyboard",Gaming,Intel Core i9 11900H,Intel UHD,16,1024,15.6 Inches ( 1920x1080 Pixels  ) FHD,15.6,FHD,https://www.amazon.com/dp/B0F23DD2HG,29999,https://m.media-amazon.com/images/I/71qdk-1H2qL._AC_UY218_.jpg,in stock
19,New,amazon,NIAKUN,LAITMIN,"15.6 Inch Laptop Computer,Gaming Laptop,16GB RAM 512GB SSD,AMD Ryzen 7 5700U 8C/16T Processor(up to 4.3Ghz),AMD Radeon Graphics,15.6 FHD 1920 * 1080 Display,WiFi 5,BT5.0,Backlit Keyboard",Study,AMD Ryzen 7 5700U,AMD Radeon Vega 8,16,512,15.6 Inches ( 1920 x 1080 ) FHD,15.6,FHD,https://www.amazon.com/dp/B0D2XNZJZT,24499,https://m.media-amazon.com/images/I/71Dod35KIKL._AC_UY218_.jpg,in stock
20,New,amazon,NAIKLULU,AM01,"15.6 Inch Laptop Computer,Gaming Laptop,32GB RAM 1TB SSD,AMD Ryzen 5 7430U 6C/12T Processor(up to 4.3Ghz),AMD Radeon Graphics,15.6FHD 1920 * 1080 Display,WiFi 5,BT5.0,Backlit Keyboard",Gaming,AMD Ryzen 5 7430U,AMD Radeon RX Vega 7,32,1024,15.6 Inches ( 1920x1080 Pixels  ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DXKFH5SB,26999,https://m.media-amazon.com/images/I/71-qvgRwGJL._AC_UY218_.jpg,in stock
21,New,amazon,NIAKUN,LAITMIN,"15.6 Inch Laptop Computer,Gaming Laptop,AMD Ryzen 7 5700U 8C/16T Processor(up to 4.3Ghz),16GB RAM 1TB SSD,AMD Radeon Graphics,15.6 FHD 1920 * 1080 Display,WiFi 5,BT5.0,Backlit Keyboard",Gaming,AMD Ryzen 7 5700U,AMD Radeon RX Vega 8,16,1024,15.6 Inches ( 1920x1080 Pixels  ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DLKNLLHM,27499,https://m.media-amazon.com/images/I/71Dod35KIKL._AC_UY218_.jpg,in stock
23,New,amazon,XYPLOXZ,MTL1561N,"15.6 inch Laptop, FHD IPS 1920x1080 Screen, RAM 8GB SSD 256GB, Celeron N5095, Backlit Keyboard, WiFi, USB 3.0, Webcam, HDMI, Ultral Light Laptop for Students and Business.(DDR 8GB| SSD 256GB)",Study,Intel Celeron N5095,Intel UHD ,8,512,15.6 Inches ( 1920 x 1080 ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DK3JC69G,22994,https://m.media-amazon.com/images/I/71FyNrtPFeL._AC_UY218_.jpg,in stock
24,New,amazon,KeeUiU,YEPBOOK-2,"15.6 Inch Laptop, Gaming Laptop N95 Processor(Up to 3.4GHz) 1920X1080 FHD IPS Screen,laptops Computer 16GB DDR4 1TB SSD 180Open Angle Fingerprint Unlock Backlit Keyboard WiFi 5 for Business Student",Study,Intel Celeron N95,Intel UHD ,16,1024,15.6 Inches ( 1920 x 1080 ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DP3Z31R7,15999,https://m.media-amazon.com/images/I/71LzPOpIHUL._AC_UY218_.jpg,in stock
25,New,amazon,DUNHOO,UL153,"15.6 Inch Laptop, Gaming Laptop, Laptops 24GB 1TB SSD, Laptop Computer N5095, Traditional Laptop Computers 180 Angle Opening, Lap top Fingerprint Unlock Backlit Keyboard, 1920X1080 FHD IPS MINI-HDMI",Study,Intel Celeron N5095,Intel UHD ,24,1024,15.6 Inches ( 1920 x 1080 ) FHD,15.6,FHD,https://www.amazon.com/dp/B0DHC27LW7,19999,https://m.media-amazon.com/images/I/71-4E4dwIuL._AC_UY218_.jpg,in stock
